Composite Element REF	Beta_value	Chromosome	Start	End	Gene_Symbol	Gene_Type	Transcript_ID	Position_to_TSS	CGI_Coordinate	Feature_Type
cg00003784	0.026922281	chr17	64506954	64506955	CEP95;CEP95;CEP95;CEP95;CEP95;CEP95;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5;DDX5	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000553412.4;ENST00000553956.5;ENST00000556440.5;ENST00000579860.4;ENST00000580188.1;ENST00000581056.4;ENST00000225792.8;ENST00000450599.5;ENST00000540698.5;ENST00000577922.4;ENST00000578400.4;ENST00000578804.4;ENST00000581230.4;ENST00000581693.4;ENST00000581697.4;ENST00000581806.4;ENST00000583239.4;ENST00000583699.1;ENST00000584279.4;ENST00000584500.1;ENST00000585060.4;ENST00000585111.1;ENST00000585223.1;ENST00000630471.1	-87;-132;365;88;-22;-58;-432;-666;-664;-222;-630;-997;-664;-664;-327;-50;-1426;759;-267;1246;-664;577;-664;-661	CGI:chr17:64505361-64507448	Island
cg00003818	NA	chr19	17225716	17225717	OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1;OCEL1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000215061.7;ENST00000594283.4;ENST00000595769.1;ENST00000596279.1;ENST00000597836.4;ENST00000598068.4;ENST00000598172.1;ENST00000599286.1;ENST00000599588.4;ENST00000600232.4;ENST00000601529.4;ENST00000601576.1;ENST00000602236.4	-489;-528;-1443;-1067;-900;-1025;-1124;-1328;-511;-538;-510;-507;-498	CGI:chr19:17226097-17227059	N_Shore
cg00003858	NA	chr1	44614928	44614929	RNF220;RNF220;RNF220;RNF220	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000355387.5;ENST00000361799.5;ENST00000372247.5;ENST00000496262.1	209733;209639;209639;662	CGI:chr1:44617067-44617613	N_Shelf
cg00003900	NA	chr16	2847073	2847074	.	.	.	.	CGI:chr16:2842578-2842809	.
cg00003965	NA	chr3	108758031	108758032	RETNLB;RETNLB	protein_coding;protein_coding	ENST00000295755.6;ENST00000482939.1	-646;-1015	CGI:chr3:108589380-108589757	.
cg00003969	0.864148812	*	-1	-1	.	.	.	.	.	.
cg00003994	0.030524328	chr7	15686237	15686238	MEOX2	protein_coding	ENST00000262041.5	576	CGI:chr7:16399497-16399700	.
cg00004055	0.055604825	chr16	66552842	66552843	CKLF;CKLF;CKLF;CKLF;CKLF;CKLF;CKLF;CKLF;CKLF-CMTM1;CKLF-CMTM1;CKLF-CMTM1;CKLF-CMTM1;CKLF-CMTM1;TK2;TK2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000264001.7;ENST00000345436.7;ENST00000351137.7;ENST00000362093.4;ENST00000417030.2;ENST00000526149.1;ENST00000534692.1;ENST00000563092.1;ENST00000527729.4;ENST00000527845.1;ENST00000532838.1;ENST00000615332.3;ENST00000616804.3;ENST00000562484.2;ENST00000563478.4	274;272;272;272;259;268;278;-554;228;254;192;278;278;-297;-1107	CGI:chr16:66552365-66552816	S_Shore
cg00004061	0.494449662	chr6	81087477	81087478	.	.	.	.	CGI:chr6:81751416-81754088	.
cg00004067	0.957161461	chr3	36940223	36940224	TRANK1	protein_coding	ENST00000429976.4	4835	CGI:chr3:36944049-36945550	N_Shelf
cg00004072	0.118913519	chr19	39407375	39407376	ZFP36;ZFP36;ZFP36;ZFP36	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000594045.1;ENST00000594442.1;ENST00000597629.1;ENST00000600033.1	517;516;561;-65	CGI:chr19:39406601-39408302	Island
cg00004073	NA	chr2	236118948	236118949	AGAP1;AGAP1;AGAP1;AGAP1;AGAP1;AGAP1;AGAP1;AGAP1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000304032.11;ENST00000336665.8;ENST00000409538.4;ENST00000418654.1;ENST00000428334.5;ENST00000453371.2;ENST00000466575.4;ENST00000614409.3	624840;624840;449343;210105;409769;73010;78335;409770	CGI:chr2:236120204-236120477	N_Shore
cg00004082	0.182146374	chr4	10018736	10018737	SLC2A9;SLC2A9;SLC2A9;SLC2A9;SLC2A9;SLC2A9;SLC2A9	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000264784.6;ENST00000309065.6;ENST00000505104.4;ENST00000505506.1;ENST00000506583.4;ENST00000506839.1;ENST00000513129.1	2748;21513;21475;340;36140;559;36201	CGI:chr4:10018857-10019402	N_Shore
cg00004089	0.901517738	chr17	76682754	76682755	MXRA7;MXRA7;MXRA7;MXRA7;MXRA7;MXRA7;MXRA7	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000355797.6;ENST00000375036.5;ENST00000449428.5;ENST00000585519.4;ENST00000588114.4;ENST00000589082.1;ENST00000592148.1	28202;28251;28263;5952;26844;6134;7466	CGI:chr17:76671742-76672008	.
cg00004105	0.300700872	chr10	98262851	98262852	LOXL4	protein_coding	ENST00000260702.3	5400	CGI:chr10:98268108-98268751	.
cg00004121	0.565164384	chr22	12098133	12098134	.	.	.	.	CGI:chr22:12097884-12098371	Island
cg00004192	0.846145171	chr22	21044264	21044265	P2RX6P;P2RX6P	transcribed_unprocessed_pseudogene;transcribed_unprocessed_pseudogene	ENST00000439119.4;ENST00000450626.1	749;754	CGI:chr22:21045690-21045981	N_Shore
cg00004207	0.059167491	chr2	38750159	38750160	GEMIN6;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7;SRSF7	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000409011.4;ENST00000313117.9;ENST00000409276.4;ENST00000415527.1;ENST00000425778.4;ENST00000425941.5;ENST00000431066.4;ENST00000443213.4;ENST00000446327.5;ENST00000452806.4;ENST00000487773.1	-1376;1336;1200;980;1257;1205;1124;1194;1336;-594;-1246	CGI:chr2:38750393-38751542	N_Shore
cg00004209	0.811656221	chr1	16677772	16677773	.	.	.	.	CGI:chr1:16680247-16680656	N_Shelf
cg00004219	NA	chr12	132052288	132052289	EP400;EP400	protein_coding;protein_coding	ENST00000389561.5;ENST00000389562.5	102367;91702	CGI:chr12:132035780-132036402	.
cg00004257	0.088093724	chr1	34163574	34163575	CSMD2;CSMD2;CSMD2;CSMD2	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000241312.7;ENST00000373381.7;ENST00000373388.5;ENST00000619121.3	2269;1701;2269;2269	CGI:chr1:34163182-34165375	Island
cg00004421	0.328115812	chr17	7571761	7571762	EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;EIF4A1;RP11-186B7.4;RP11-186B7.4;SENP3;SENP3;SENP3;SENP3;SENP3-EIF4A1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;processed_transcript;processed_transcript;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000293831.11;ENST00000396527.6;ENST00000577269.4;ENST00000578476.4;ENST00000578495.4;ENST00000578754.4;ENST00000579085.4;ENST00000579139.1;ENST00000580461.4;ENST00000580886.4;ENST00000580888.4;ENST00000581544.4;ENST00000582169.4;ENST00000582213.4;ENST00000582746.4;ENST00000582848.4;ENST00000583802.4;ENST00000583899.4;ENST00000584054.4;ENST00000584712.4;ENST00000584784.4;ENST00000584860.4;ENST00000584901.4;ENST00000585024.4;ENST00000581621.1;ENST00000628359.1;ENST00000321337.10;ENST00000429205.5;ENST00000581010.1;ENST00000610454.3;ENST00000614237.1	-1066;-1066;-1077;-1066;-1066;-1066;-1068;-1067;-1066;-1066;-946;-1068;-1066;-1068;-1082;-1068;-1068;-1068;-1064;-1066;-1078;-1475;-1068;-1068;-1066;-946;9885;9534;396;4812;8473	CGI:chr17:7572598-7574012	N_Shore
cg00004429	0.738649899	chr9	137786754	137786755	EHMT1;EHMT1;EHMT1;RP11-188C12.2;RP11-188C12.2	protein_coding;protein_coding;protein_coding;transcribed_processed_pseudogene;transcribed_processed_pseudogene	ENST00000371394.5;ENST00000460843.4;ENST00000462942.2;ENST00000626603.1;ENST00000629344.1	167760;167790;42689;2482;1440	CGI:chr9:137788668-137789322	N_Shore
cg00004533	0.950057909	chr21	43982583	43982584	AGPAT3;AGPAT3;AGPAT3;AGPAT3;AGPAT3;AGPAT3;AGPAT3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000291572.11;ENST00000327505.5;ENST00000398058.4;ENST00000398061.4;ENST00000398063.5;ENST00000479117.4;ENST00000546158.1	117396;78691;35652;100038;57574;22799;28034	CGI:chr21:43982603-43982961	N_Shore
cg00004562	0.639015609	chr6	31121516	31121517	CDSN;PSORS1C1;PSORS1C1;PSORS1C1;PSORS1C1;PSORS1C1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000376288.2;ENST00000259881.9;ENST00000479581.4;ENST00000548049.1;ENST00000550838.1;ENST00000552747.1	-1069;6684;6684;6742;6681;6676	CGI:chr6:31158308-31158784	.
cg00004608	0.568511519	chr6	133951325	133951326	TBPL1;TBPL1;TBPL1	protein_coding;protein_coding;protein_coding	ENST00000416965.4;ENST00000457715.1;ENST00000613034.3	-846;-962;-846	CGI:chr6:133952079-133953706	N_Shore
cg00004667	NA	chr1	15966251	15966252	ZBTB17;ZBTB17;ZBTB17;ZBTB17	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000375733.5;ENST00000375743.7;ENST00000479282.4;ENST00000537142.4	9882;9876;9854;9829	CGI:chr1:15975407-15976177	.
cg00004700	NA	chr2	105397428	105397429	FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2;FHL2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000322142.11;ENST00000344213.7;ENST00000358129.7;ENST00000393352.6;ENST00000393353.6;ENST00000408995.4;ENST00000409177.4;ENST00000409807.4;ENST00000447958.1;ENST00000452732.1;ENST00000530340.4;ENST00000607522.1	1634;1797;1797;41076;1624;1623;2240;-470;-642;-730;1797;41086	CGI:chr2:105398421-105399427	N_Shore
cg00004771	NA	chr6	71585123	71585124	AL354933.1;KRT19P1	miRNA;processed_pseudogene	ENST00000390196.1;ENST00000405746.1	33;401	CGI:chr6:71584669-71585285	Island
cg00004773	0.806654417	chr12	76329175	76329176	.	.	.	.	CGI:chr12:76348129-76348506	.
cg00004775	NA	chr22	46120623	46120624	.	.	.	.	CGI:chr22:46122574-46122849	N_Shore
cg00004806	NA	chr6	161137073	161137074	AGPAT4;AGPAT4	protein_coding;protein_coding	ENST00000320285.7;ENST00000366911.8	136989;136953	CGI:chr6:160991345-160992532	.
cg00004818	0.094360886	chr4	177442992	177442993	AGA;AGA;AGA;AGA	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000264595.5;ENST00000506853.4;ENST00000510955.4;ENST00000511231.1	-488;-582;-582;-582	CGI:chr4:177442085-177442554	S_Shore
cg00004859	NA	chr3	110894047	110894048	PVRL3-AS1;PVRL3-AS1;RP11-553A10.1;RP11-553A10.1	antisense;antisense;lincRNA;lincRNA	ENST00000474769.4;ENST00000476301.4;ENST00000383686.2;ENST00000485473.1	177478;177317;-570;-834	CGI:chr3:111071302-111072554	.
cg00004883	0.861962371	chr16	75114562	75114563	LDHD;LDHD;LDHD;LDHD	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000300051.7;ENST00000450168.2;ENST00000568164.1;ENST00000569876.1	2206;2210;1031;2194	CGI:chr16:75114500-75114966	Island
cg00004939	0.04587724	chr14	68794944	68794945	ZFP36L1;ZFP36L1;ZFP36L1;ZFP36L1	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000336440.3;ENST00000553375.1;ENST00000557022.1;ENST00000557086.1	-207;1271;1138;1310	CGI:chr14:68792895-68796183	Island
cg00004963	0.736475783	chr6	146803860	146803861	ADGB;ADGB;ADGB;ADGB;ADGB;KATNBL1P6;KATNBL1P6	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;transcribed_processed_pseudogene;transcribed_processed_pseudogene	ENST00000367489.2;ENST00000367490.4;ENST00000397944.6;ENST00000480328.5;ENST00000493950.5;ENST00000453433.1;ENST00000562413.2	2000;67341;204894;86976;204854;-150;-35	CGI:chr6:146598898-146599109	.
cg00004979	0.97957647	chr12	111447662	111447663	SH2B3;SH2B3	protein_coding;protein_coding	ENST00000341259.5;ENST00000538307.1	41713;12799	CGI:chr12:111418092-111418946	.
cg00004996	0.755958034	chr8	17414026	17414027	MTMR7;MTMR7;MTMR7;MTMR7	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000180173.8;ENST00000517317.4;ENST00000521177.1;ENST00000521857.4	-698;-718;-497;-698	CGI:chr8:17413094-17413611	S_Shore
cg00005010	0.022272915	chr16	56657937	56657938	MT1A;MT1F;MT1F;MT1F;MT1F	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000622334.1;ENST00000334350.6;ENST00000564295.1;ENST00000567672.1;ENST00000568475.1	19270;242;205;-1298;-76	CGI:chr16:56657777-56658122	Island
cg00005040	0.0748086	chr6	127118061	127118062	RSPO3;RSPO3	protein_coding;protein_coding	ENST00000356698.7;ENST00000368317.3	-544;-978	CGI:chr6:127118120-127118451	N_Shore
cg00005072	0.805373198	chr16	89305574	89305575	ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11;ANKRD11	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000301030.7;ENST00000330736.8;ENST00000378330.5;ENST00000378332.5;ENST00000562275.4;ENST00000562816.4;ENST00000563291.1;ENST00000564553.4;ENST00000566858.4;ENST00000567699.1;ENST00000567736.4;ENST00000568924.1;ENST00000613312.3	184988;11569;184745;184944;11502;183620;23413;7863;34397;11505;14783;8012;184745	CGI:chr16:89305573-89307106	Island
cg00005083	0.92229135	chr6	46687806	46687807	RP11-446F17.3;RP11-446F17.3;RP11-446F17.3;TDRD6;TDRD6	antisense;antisense;antisense;protein_coding;protein_coding	ENST00000422284.5;ENST00000434329.2;ENST00000571590.4;ENST00000316081.9;ENST00000544460.4	-5;360;-5;-324;-70	CGI:chr6:46687525-46689001	Island
cg00005112	0.810727195	chr16	69924937	69924938	WWP2;WWP2;WWP2;WWP2;WWP2;WWP2;WWP2;WWP2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000356003.5;ENST00000359154.5;ENST00000544162.4;ENST00000566463.4;ENST00000567579.4;ENST00000568185.1;ENST00000568684.1;ENST00000569297.4	86199;162630;126071;7353;29974;-76;-54;34138	CGI:chr16:69965134-69965874	.
cg00005164	NA	chr19	35020618	35020619	CTD-2527I21.14;GRAMD1A;GRAMD1A;GRAMD1A;GRAMD1A;GRAMD1A	antisense;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000605640.1;ENST00000317991.8;ENST00000411896.5;ENST00000598118.1;ENST00000599564.4;ENST00000600231.4	4718;20330;20191;5648;25833;20294	CGI:chr19:35021685-35021905	N_Shore
cg00005166	0.705428789	chr16	3214442	3214443	AJ003147.9;OR1F2P	antisense;unprocessed_pseudogene	ENST00000576468.1;ENST00000570470.2	26229;-1170	CGI:chr16:3234639-3235558	.
cg00005215	0.851101355	chr18	63556144	63556145	SERPINB12;SERPINB12	protein_coding;protein_coding	ENST00000269491.4;ENST00000382768.1	-17;-17	CGI:chr18:63422029-63423124	.
cg00005297	0.309178711	chr4	3463640	3463641	DOK7;DOK7;DOK7;DOK7	protein_coding;protein_coding;protein_coding;protein_coding	ENST00000340083.5;ENST00000503688.4;ENST00000507039.4;ENST00000511267.4	328;328;328;328	CGI:chr4:3463072-3463713	Island
cg00005306	0.011980955	chr16	30698245	30698246	RP11-146F11.1;RP11-146F11.1;SRCAP;SRCAP	antisense;antisense;protein_coding;protein_coding	ENST00000564775.2;ENST00000568500.1;ENST00000262518.7;ENST00000411466.5	717;814;-897;35	CGI:chr16:30697953-30699089	Island
cg00005390	0.621443794	chr16	2519280	2519281	AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;AMDHD2;ATP6V0C;ATP6V0C;ATP6V0C;ATP6V0C;ATP6V0C;RP11-20I23.1;RP11-20I23.3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000293971.9;ENST00000302956.7;ENST00000413459.6;ENST00000563556.1;ENST00000563633.4;ENST00000565963.4;ENST00000566706.4;ENST00000567475.4;ENST00000568263.4;ENST00000569219.1;ENST00000569879.4;ENST00000330398.7;ENST00000564973.1;ENST00000565223.1;ENST00000568562.1;ENST00000618152.3;ENST00000564543.1;ENST00000569317.1	-1086;-1086;-1111;-1157;-1114;-1111;-1142;-1122;-1078;-1124;-1146;5409;280;4985;5303;5553;23247;5314	CGI:chr16:2519558-2521070	N_Shore
cg00005437	0.744731268	chr17	18107426	18107427	DRG2;DRG2;DRG2;DRG2;DRG2;DRG2;DRG2;DRG2;MYO15A;MYO15A;RP11-258F1.2	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;TEC	ENST00000225729.6;ENST00000395726.7;ENST00000467099.5;ENST00000482564.1;ENST00000497744.1;ENST00000580055.4;ENST00000582528.4;ENST00000583355.1;ENST00000205890.8;ENST00000615845.3;ENST00000624514.1	19539;19500;19457;1978;2865;19459;11703;19418;-1281;-1281;3038	CGI:chr17:18118861-18121554	.
cg00005541	NA	chr12	132433277	132433278	.	.	.	.	CGI:chr12:132433158-132433387	Island
cg00005543	0.014841886	chr6	169751536	169751537	ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;ERMARD;TCTE3;TCTE3	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000366772.5;ENST00000366773.6;ENST00000392095.7;ENST00000418781.6;ENST00000586341.4;ENST00000588437.4;ENST00000588451.1;ENST00000590711.4;ENST00000592315.4;ENST00000592367.4;ENST00000592580.4;ENST00000592745.4;ENST00000366774.3;ENST00000628156.1	-87;-90;-90;-103;-103;-113;-262;-87;-90;-87;-103;-90;24;52	CGI:chr6:169751255-169752035	Island
cg00005617	0.805320346	chrX	68840055	68840056	EFNB1	protein_coding	ENST00000204961.4	11057	CGI:chrX:68840335-68840715	N_Shore
cg00005619	0.840953998	chr11	47587170	47587171	FAM180B	protein_coding	ENST00000538490.1	476	CGI:chr11:47589586-47590875	N_Shelf
cg00005622	NA	chr8	144125500	144125501	.	.	.	.	CGI:chr8:144125640-144126097	N_Shore
cg00005740	0.905700046	chr13	23505279	23505280	.	.	.	.	CGI:chr13:23466328-23466881	.
cg00005817	0.787687664	chr4	74303024	74303025	MTHFD2L;MTHFD2L	protein_coding;protein_coding	ENST00000325278.6;ENST00000395759.5	144850;144911	CGI:chr4:74444969-74445423	.
cg00005847	0.344577709	chr2	176164345	176164346	AC009336.19;HOXD3;HOXD3;HOXD3;RP11-387A1.5	protein_coding;protein_coding;protein_coding;protein_coding;antisense	ENST00000468418.4;ENST00000249440.4;ENST00000410016.4;ENST00000432796.2;ENST00000608941.1	13259;267;3453;27387;1372	CGI:chr2:176164685-176165509	N_Shore
cg00005849	0.886086012	chr2	236162538	236162539	.	.	.	.	CGI:chr2:236163150-236170119	N_Shore
cg00005861	0.772047932	chr10	110308463	110308464	.	.	.	.	CGI:chr10:110304379-110305101	S_Shelf
cg00006032	0.041228944	chr14	66507721	66507722	GPHN;GPHN;GPHN;GPHN;GPHN;GPHN;GPHN;GPHN;GPHN;RP11-72M17.1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;lincRNA	ENST00000315266.8;ENST00000459628.4;ENST00000478722.4;ENST00000543237.4;ENST00000553936.4;ENST00000555668.4;ENST00000556020.1;ENST00000556633.4;ENST00000557654.4;ENST00000556874.1	313;-418;313;-784;-796;-787;-1339;-787;-796;1674	CGI:chr14:66507651-66509517	Island
cg00006081	0.275655281	chr10	123149391	123149392	HMX2	protein_coding	ENST00000339992.3	1268	CGI:chr10:123147767-123151519	Island
cg00006090	NA	chr16	72172756	72172757	PMFBP1;PMFBP1;PMFBP1;PMFBP1;PMFBP1;PMFBP1;PMFBP1;PMFBP1;PMFBP1	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000237353.13;ENST00000355636.9;ENST00000379073.8;ENST00000535461.4;ENST00000536211.4;ENST00000537465.4;ENST00000539172.4;ENST00000540440.1;ENST00000543746.1	-500;-1484;-305;-1320;-285;-603;-858;4123;-652	CGI:chr16:72093230-72093442	.
cg00006122	0.058272503	chr12	52069532	52069533	ATG101;ATG101;ATG101;ATG101;ATG101;ATG101;ATG101	protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding;protein_coding	ENST00000336854.7;ENST00000547409.1;ENST00000548915.1;ENST00000550604.1;ENST00000552544.4;ENST00000552947.1;ENST00000553049.4	-440;285;-489;-456;-445;-481;-472	CGI:chr12:52069564-52070418	N_Shore
